Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Aron, A.R., Ivry, R.B., Jeffery, K.J., Poldrack, R.A., Schmidt, R., Summerfield, C., Urai, A.E.","7005104549; 57191367253; 26643352100; 7004739390; 57206763231; 6602640766; 42962653500","How Can Neuroscientists Respond to the Climate Emergency?",2020,"Neuron",106,"1",,17,20,,7,10.1016/j.neuron.2020.02.019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082741860&partnerID=40&md5=900e7407323f5147ceaab9a7870f1ae6",Note,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85082741860
"Sheng, L., Rigo, F., Frank Bennett, C., Krainer, A.R., Hua, Y.","57200919118; 9735454800; 7401714681; 56744420600; 16238560400","Comparison of the efficacy of MOE and PMO modifications of systemic antisense oligonucleotides in a severe SMA mouse model",2020,"Nucleic Acids Research",48,"6",,2853,2865,,33,10.1093/nar/gkaa126,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082562151&partnerID=40&md5=e1f4397d7c92501288b4ada4fbde5264",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85082562151
"Wilson, J.P., Ipsaro, J.J., Del Giudice, S.N., Turna, N.S., Gauss, C.M., Dusenbury, K.H., Marquart, K., Rivera, K.D., Pappin, D.J.","57198215404; 16304172900; 57216264821; 57205611304; 8788351600; 56458755000; 57216263750; 36157150700; 7003371236","Tryp-N: A Thermostable Protease for the Production of N-terminal Argininyl and Lysinyl Peptides",2020,"Journal of Proteome Research",19,"4",,1459,1469,,6,10.1021/acs.jproteome.9b00713,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082979428&partnerID=40&md5=fe5fc430b0093d313f3db0b495e22cf3",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85082979428
"Lak, A., Hueske, E., Hirokawa, J., Masset, P., Ott, T., Urai, A.E., Donner, T.H., Carandini, M., Tonegawa, S., Uchida, N., Kepecs, A.","55216641100; 8620623100; 25625134700; 57194701287; 55829975300; 42962653500; 6701793148; 6701363142; 56243320800; 7201528355; 6603111953","Reinforcement biases subsequent perceptual decisions when confidence is low: A widespread behavioral phenomenon",2020,"eLife",9,"", e49834,,,,36,10.7554/eLife.49834,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85084338705&partnerID=40&md5=58df53cec2cbb46a697d5be767d05029",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85084338705
"Somerville, T.D.D., Biffi, G., Daßler-Plenker, J., Hur, S.K., He, X.-Y., Vance, K.E., Miyabayashi, K., Xu, Y., Maia-Silva, D., Klingbeil, O., Demerdash, O.E., Preall, J.B., Hollingsworth, M.A., Egeblad, M., Tuveson, D.A., Vakoc, C.R.","54080253500; 55320486800; 57191496253; 58289864800; 57202829178; 57201737515; 26027978000; 56401297100; 57204563757; 57196184790; 57202837064; 9242628900; 7102604437; 7004320104; 6701721348; 8685299800","Squamous trans-differentiation of pancreatic cancer cells promotes stromal inflammation",2020,"eLife",9,"", e53381,,,,50,10.7554/eLife.53381,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85084206151&partnerID=40&md5=572a7259ea15d0f58f8111014ad70cd9",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85084206151
"Zhu, X., Victor, T.W., Ambi, A., Sullivan, J.K., Hatfield, J., Xu, F., Miller, L.M., Van Nostrand, W.E.","57203865384; 57191493764; 57194032043; 57210112724; 57204769562; 36629761800; 55491173800; 7005663196","Copper accumulation and the effect of chelation treatment on cerebral amyloid angiopathy compared to parenchymal amyloid plaques",2020,"Metallomics",12,"4",,539,546,,11,10.1039/c9mt00306a,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85084176046&partnerID=40&md5=d30a20e025408b7655fe7c5b4c5827dc",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85084176046
"Lee, S.C., Ernst, E., Berube, B., Borges, F., Parent, J.-S., Ledon, P., Schorn, A., Martienssen, R.A.","35205362800; 55947927100; 57216641114; 25925729100; 24279115600; 57216640321; 35084238000; 7007149382","Arabidopsis retrotransposon virus-like particles and their regulation by epigenetically activated small RNA",2020,"Genome Research",30,"4",,576,588,,16,10.1101/gr.259044.119,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85084167738&partnerID=40&md5=c6532fe46d44bbce638940314873e95b",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85084167738
"Saxena, S., Kinsella, I., Musall, S., Kim, S.H., Meszaros, J., Thibodeaux, D.N., Kim, C., Cunningham, J., Hillman, E.M.C., Churchland, A., Paninski, L.","36814242000; 57208595470; 55543899600; 56018319800; 56513522800; 57190977317; 57221471975; 35387912300; 35478103000; 6506370880; 57203252990","Localized semi-nonnegative matrix factorization (LocaNMF) of widefield calcium imaging data",2020,"PLoS Computational Biology",16,"4", e1007791,,,,31,10.1371/journal.pcbi.1007791,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85084028145&partnerID=40&md5=1187bb9ff77ad82e98b40d3986a65e91",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85084028145
"Moss, M.A., Williams, B., Ferdous, F., Scott, T., Dunn, H.W.","57216953822; 57216337505; 23134672100; 57209624408; 57191483404","Methodology to analyze gene expression patterns of early mammary development in pig models",2020,"Molecular Biology Reports",47,"4",,3241,3248,,4,10.1007/s11033-020-05362-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083159127&partnerID=40&md5=baaeb3f52847b5417e0832a2587f4bca",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85083159127
"Tareen, A., Kinney, J.B.","57192962303; 18536233900","Logomaker: Beautiful sequence logos in Python",2020,"Bioinformatics",36,"7",,2272,2274,,125,10.1093/bioinformatics/btz921,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083080805&partnerID=40&md5=f191fd3b6342ce3634b02eb87bb8919e",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85083080805
"Burko, Y., Seluzicki, A., Zander, M., Pedmale, U.V., Ecker, J.R., Chory, J.","35749454000; 35799055200; 35075405400; 9236214400; 35420135600; 7005811429","Chimeric activators and repressors define HY5 activity and reveal a light-regulated feedback mechanism",2020,"Plant Cell",32,"4",,967,983,,64,10.1105/tpc.19.00772,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083080173&partnerID=40&md5=68e71a90d455fe414f068da64ee711cf",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85083080173
"Wang, Z., Butel, N., Santos-González, J., Borges, F., Yi, J., Martienssen, R.A., Martinez, G., Köhler, C.","57191598455; 57193889290; 56465698800; 25925729100; 56542322000; 7007149382; 55363458700; 7202651480","Polymerase IV plays a crucial role in pollen development in Capsella",2020,"Plant Cell",32,"",,950,966,,34,10.1105/TPC.19.00938,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083076525&partnerID=40&md5=3e7c062ddcd4d5afaecad8bd77a44922",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85083076525
"Tian, C., Öhlund, D., Rickelt, S., Lidström, T., Huang, Y., Hao, L., Zhao, R.T., Franklin, O., Bhatia, S.N., Tuveson, D.A., Hynes, R.O.","36505373300; 24171541400; 18635041800; 57207771140; 57211095607; 56577203500; 57216203113; 56588832500; 7401461905; 6701721348; 7102583337","Cancer cell–derived matrisome proteins promote metastasis in pancreatic ductal adenocarcinoma",2020,"Cancer Research",80,"7",,1461,1474,,69,10.1158/0008-5472.CAN-19-2578,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082807348&partnerID=40&md5=a6ced8efaf3776e62e9300ced024bd82",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85082807348
"Markham, M.J., Wachter, K., Agarwal, N., Bertagnolli, M.M., Chang, S.M., Dale, W., Diefenbach, C.S.M., Rodriguez-Galindo, C., George, D.J., Gilligan, T.D., Harvey, R.D., Johnson, M.L., Kimple, R.J., Knoll, M.A., LoConte, N., Maki, R.G., Meisel, J.L., Meyerhardt, J.A., Pennell, N.A., Rocque, G.B., Sabel, M.S., Schilsky, R.L., Schneider, B.J., Tap, W.D., Uzzo, R.G., Westin, S.N.","7004611662; 57518118900; 7202078020; 7004709364; 7405603707; 7004396789; 55275689300; 7003851980; 7201471436; 7004267087; 19334417000; 8445067100; 6603350072; 57202382027; 23489516700; 7101997786; 56480275600; 6603623790; 57202645461; 37056225400; 7005432765; 57205239343; 9239782700; 9640483800; 7005488251; 22037093400","Clinical Cancer Advances 2020: Annual report on progress against cancer from the American Society of Clinical oncology",2020,"Journal of Clinical Oncology",38,"10",,1081,1101,,88,10.1200/JCO.19.03141,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082561905&partnerID=40&md5=ff9d8430a8632d8ec9a819fd52e0da75",Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85082561905
"Turiv, T., Koizumi, R., Thijssen, K., Genkin, M.M., Yu, H., Peng, C., Wei, Q.-H., Yeomans, J.M., Aranson, I.S., Doostmohammadi, A., Lavrentovich, O.D.","57194759619; 57208387852; 57194241377; 57194103087; 57204473953; 56431854000; 7201692907; 7103193168; 7004303880; 37661257000; 7005414151","Polar jets of swimming bacteria condensed by a patterned liquid crystal",2020,"Nature Physics",16,"4",,481,487,,40,10.1038/s41567-020-0793-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85081730332&partnerID=40&md5=cff1ec5f1251616c7c8ae59243d1f2bb",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85081730332
"Poirier, J.T., George, J., Owonikoko, T.K., Berns, A., Brambilla, E., Byers, L.A., Carbone, D., Chen, H.J., Christensen, C.L., Dive, C., Farago, A.F., Govindan, R., Hann, C., Hellmann, M.D., Horn, L., Johnson, J.E., Ju, Y.S., Kang, S., Krasnow, M., Lee, J., Lee, S.-H., Lehman, J., Lok, B., Lovly, C., MacPherson, D., McFadden, D., Minna, J., Oser, M., Park, K., Park, K.-S., Pommier, Y., Quaranta, V., Ready, N., Sage, J., Scagliotti, G., Sos, M.L., Sutherland, K.D., Travis, W.D., Vakoc, C.R., Wait, S.J., Wistuba, I., Wong, K.K., Zhang, H., Daigneault, J., Wiens, J., Rudin, C.M., Oliver, T.G.","19638898300; 56882925900; 57210201359; 57117416900; 7101832502; 16202180400; 16551733900; 55354298300; 27267446000; 7004424860; 57204343309; 24176800100; 36189339200; 55556673600; 16202545700; 8869061400; 25947457600; 16744247200; 7004230522; 55877297545; 39262058200; 57191917512; 38662658400; 6506612218; 7101623468; 7102056788; 35380041500; 16679724200; 7408064384; 25958774500; 35434174300; 7006605079; 57000661500; 35231167800; 7006392582; 9534414200; 7006886664; 35376557400; 8685299800; 57204088643; 35375776900; 57218966847; 57103986400; 57211132835; 57191359531; 7006098876; 55646253000","New Approaches to SCLC Therapy: From the Laboratory to the Clinic",2020,"Journal of Thoracic Oncology",15,"4",,520,540,,83,10.1016/j.jtho.2020.01.016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85080093069&partnerID=40&md5=948fde42163fdd6ffdb7b845d9ff2183",Review,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85080093069
"Chan-Seng-Yue, M., Kim, J.C., Wilson, G.W., Ng, K., Figueroa, E.F., O’Kane, G.M., Connor, A.A., Denroche, R.E., Grant, R.C., McLeod, J., Wilson, J.M., Jang, G.H., Zhang, A., Liang, S.-B., Borgida, A., Chadwick, D., Kalimuthu, S., Lungu, I., Bartlett, J.M.S., Krzyzanowski, P.M., Sandhu, V., Tiriac, H., Froeling, F.E.M., Karasinska, J.M., Topham, J.T., Renouf, D.J., Schaeffer, D.F., Jones, S.J.M., Marra, M.A., Laskin, J., Chetty, R., Stein, L.D., Zogopoulos, G., Haibe-Kains, B., Campbell, P.J., Tuveson, D.A., Knox, J.J., Fischer, S.E., Gallinger, S., Notta, F.","55918571300; 57126519600; 55803254400; 55382839200; 57213816222; 15019725700; 8917818400; 55482864900; 54406773000; 56029863000; 57191657552; 56105623700; 57202382479; 7402146609; 35078126000; 57191663096; 55538748100; 57191667847; 36063907600; 8211985500; 56487787400; 15043410900; 35169139200; 12775170100; 57192709047; 15756337100; 56533353400; 55732380600; 55553154800; 7102409848; 16189046400; 7202575097; 7801441069; 23667678400; 35397659000; 6701721348; 7202078898; 55861302800; 34975072000; 34768770800","Author Correction: Transcription phenotypes of pancreatic cancer are driven by genomic events during tumor evolution (Nature Genetics, (2020), 52, 2, (231-240), 10.1038/s41588-019-0566-9)",2020,"Nature Genetics",52,"4",,463,,,2,10.1038/s41588-020-0588-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85079721677&partnerID=40&md5=7528d6723c480664ebabed7aaa13bed9",Erratum,Final,"All Open Access, Bronze",Scopus,2-s2.0-85079721677
"Hejase, H.A., Dukler, N., Siepel, A.","56541471300; 57192691127; 6701428520","From Summary Statistics to Gene Trees: Methods for Inferring Positive Selection",2020,"Trends in Genetics",36,"4",,243,258,,14,10.1016/j.tig.2019.12.008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078630100&partnerID=40&md5=2d15a4ab6d11cbc757b73078e87393a4",Review,Final,"All Open Access, Green",Scopus,2-s2.0-85078630100
"Daßler-Plenker, J., Küttner, V., Egeblad, M.","57191496253; 6505625869; 7004320104","Communication in tiny packages: Exosomes as means of tumor-stroma communication",2020,"Biochimica et Biophysica Acta - Reviews on Cancer",1873,"2", 188340,,,,42,10.1016/j.bbcan.2020.188340,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078244506&partnerID=40&md5=62c403db257396ca5caa446cdc44d00d",Review,Final,"",Scopus,2-s2.0-85078244506
"Ziamtsov, I., Navlakha, S.","56463043900; 23486588700","Plant 3D (P3D): A plant phenotyping toolkit for 3D point clouds",2020,"Bioinformatics",36,"12",,3949,3950,,8,10.1093/bioinformatics/btaa220,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85087320545&partnerID=40&md5=f06f62ddf2c92823db9bd70f99003f91",Article,Final,"",Scopus,2-s2.0-85087320545
"Darby, C.A., Gaddipati, R., Schatz, M.C., Langmead, B.","57194421425; 58412135900; 7102406086; 26324979600","Vargas: Heuristic-free alignment for assessing linear and graph read aligners",2020,"Bioinformatics",36,"12",,3712,3718,,11,10.1093/bioinformatics/btaa265,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85087320430&partnerID=40&md5=68205f090ab805d6ffd1f7442e9bbbba",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85087320430
"Wang, L., Lu, Z., delaBastide, M., Van Buren, P., Wang, X., Ghiban, C., Regulski, M., Drenkow, J., Xu, X., Ortiz-Ramirez, C., Marco, C.F., Goodwin, S., Dobin, A., Birnbaum, K.D., Jackson, D.P., Martienssen, R.A., McCombie, W.R., Micklos, D.A., Schatz, M.C., Ware, D.H., Gingeras, T.R.","55721500200; 55553651200; 24437684700; 55253524800; 58394536500; 55821439300; 6604065443; 6603366956; 56241965800; 49862082500; 32167668000; 56950048700; 57211370910; 7003932645; 7404288309; 7007149382; 7003295780; 6507371056; 7102406086; 57206369615; 7003527869","Management, Analyses, and Distribution of the MaizeCODE Data on the Cloud",2020,"Frontiers in Plant Science",11,"", 289,,,,3,10.3389/fpls.2020.00289,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083316749&partnerID=40&md5=111c92e15350023ca9b9bc7d4e34965e",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85083316749
"O’Neill, K., Brocks, D., Hammell, M.G.","57215666692; 56061232200; 36840550700","Mobile genomics: Tools and techniques for tackling transposons",2020,"Philosophical Transactions of the Royal Society B: Biological Sciences",375,"1795", 20190345,,,,28,10.1098/rstb.2019.0345,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85079824487&partnerID=40&md5=66c4ba5cced8104ba82d8bd0ac594af6",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85079824487
"Bravo-Rivera, C., Sotres-Bayon, F.","36508524000; 8760589900","From Isolated Emotional Memories to Their Competition During Conflict",2020,"Frontiers in Behavioral Neuroscience",14,"", 36,,,,7,10.3389/fnbeh.2020.00036,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082672250&partnerID=40&md5=8b661e4bf572695fd645cf49ed7dcffa",Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85082672250
"Tomoi, T., Kawade, K., Kitagawa, M., Sakata, Y., Tsukaya, H., Fujita, T.","57208760409; 24802160900; 57193726777; 55318591200; 7006161709; 7405809484","Quantitative Imaging Reveals Distinct Contributions of SnRK2 and ABI3 in Plasmodesmatal Permeability in Physcomitrella patens",2020,"Plant and Cell Physiology",61,"5",,942,956,,7,10.1093/pcp/pcaa021,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85084695971&partnerID=40&md5=7ad9840c2c6a77d9166343a14692989b",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85084695971
"Moral, J.A., Leung, J., Rojas, L.A., Ruan, J., Zhao, J., Sethna, Z., Ramnarain, A., Gasmi, B., Gururajan, M., Redmond, D., Askan, G., Bhanot, U., Elyada, E., Park, Y., Tuveson, D.A., Gönen, M., Leach, S.D., Wolchok, J.D., DeMatteo, R.P., Merghoub, T., Balachandran, V.P.","57197792860; 57215052204; 57215068504; 57190164072; 57197793702; 55896956800; 37110072000; 56612390400; 13407378200; 56605943700; 57189646133; 8963319800; 36987970000; 57205713430; 6701721348; 7003560941; 57213278571; 7003481268; 7006076369; 6603551550; 35339011800","ILC2s amplify PD-1 blockade by activating tissue-specific cancer immunity",2020,"Nature",579,"7797",,130,135,,192,10.1038/s41586-020-2015-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85079810878&partnerID=40&md5=a2efddcf4ac1af66a5c50ec280131459",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85079810878
"Egeblad, M.","7004320104","Zena Werb (1945-2020): Matrix Metalloproteinases, Microenvironments, and Mentoring",2020,"Annual Review of Cancer Biology",5,"",,1,16,,,10.1146/annurev-cancerbio-081320-114426,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102115436&partnerID=40&md5=3c2371c850a75f8b31cb1c3e39f1b9b4",Review,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85102115436
"Zhu, X., Hatfield, J., Sullivan, J.K., Xu, F., Van Nostrand, W.E.","57203865384; 57204769562; 57210112724; 36629761800; 7005663196","Robust neuroinflammation and perivascular pathology in rTg-DI rats, a novel model of microvascular cerebral amyloid angiopathy",2020,"Journal of Neuroinflammation",17,"1", 78,,,,18,10.1186/s12974-020-01755-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85081042548&partnerID=40&md5=3d426346ce53cac9abea3718615ea83a",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85081042548
"Stephenson-Jones, M., Bravo-Rivera, C., Ahrens, S., Furlan, A., Xiao, X., Fernandes-Henriques, C., Li, B.","40462599100; 36508524000; 56448447700; 57214706788; 57215551578; 57203496498; 55565756000","Opposing Contributions of GABAergic and Glutamatergic Ventral Pallidal Neurons to Motivational Behaviors",2020,"Neuron",105,"5",,921,933.e5,,62,10.1016/j.neuron.2019.12.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85080093682&partnerID=40&md5=86db954dc3fbe61f1b80559548a895f2",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85080093682
"Cheng, H., Gottlieb, L., Marchi, E., Kleyner, R., Bhardwaj, P., Rope, A.F., Rosenheck, S., Moutton, S., Philippe, C., Eyaid, W., Alkuraya, F.S., Toribio, J., Mena, R., Prada, C.E., Stessman, H., Bernier, R., Wermuth, M., Kauffmann, B., Blaumeiser, B., Kooy, R.F., Baralle, D., Mancini, G.M.S., Conway, S.J., Xia, F., Chen, Z., Meng, L., Mihajlovic, L., Marmorstein, R., Lyon, G.J.","57201491909; 57201796048; 57201813086; 57199066509; 57210966723; 7801333207; 57210196641; 54934426800; 55372696400; 6602725345; 6602397795; 57210965284; 35094428000; 37024738600; 55748741100; 57203215362; 57210966675; 56425910400; 6603497070; 7004132358; 6602002137; 35433431100; 7101690792; 55862882200; 57195294625; 56224316000; 57210965244; 7006604636; 57196750882","Erratum: Phenotypic and biochemical analysis of an international cohort of individuals with variants in NAA10 and NAA15(Human Molecular Genetics (2019) 28:17 (2900-2919) DOI: 10.1093/hmg/ddz111)",2020,"Human Molecular Genetics",29,"5",,877,878,,4,10.1093/hmg/ddz173,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85082563425&partnerID=40&md5=f8e9dbc11e8fa32b6075021706fc56dd",Erratum,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85082563425
"Rahman, M.A., Lin, K.-T., Bradley, R.K., Abdel-Wahab, O., Krainer, A.R.","55912545800; 55466900500; 57208847847; 6506638644; 56744420600","Recurrent SRSF2 mutations in MDS affect both splicing and NMD",2020,"Genes and Development",34,"5",,413,427,,31,10.1101/gad.332270.119,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85081140025&partnerID=40&md5=d76b5642757924bfa620d9d65f2db179",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85081140025
"Syrjanen, J.L., Michalski, K., Chou, T.-H., Grant, T., Rao, S., Simorowski, N., Tucker, S.J., Grigorieff, N., Furukawa, H.","57214221482; 56178773600; 57214220591; 56673724900; 57194010962; 35340104300; 7202408608; 6603858126; 35229357000","Publisher Correction: Structure and assembly of calcium homeostasis modulator proteins (Nature Structural &amp; Molecular Biology, (2020), 27, 2, (150-159), 10.1038/s41594-019-0369-9)",2020,"Nature Structural and Molecular Biology",27,"3",,305,,,1,10.1038/s41594-020-0396-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85079728070&partnerID=40&md5=6b973908cf2f5db874e7c9a2f05b8545",Erratum,Final,"All Open Access, Bronze",Scopus,2-s2.0-85079728070
"Sahai, E., Astsaturov, I., Cukierman, E., DeNardo, D.G., Egeblad, M., Evans, R.M., Fearon, D., Greten, F.R., Hingorani, S.R., Hunter, T., Hynes, R.O., Jain, R.K., Janowitz, T., Jorgensen, C., Kimmelman, A.C., Kolonin, M.G., Maki, R.G., Powers, R.S., Puré, E., Ramirez, D.C., Scherz-Shouval, R., Sherman, M.H., Stewart, S., Tlsty, T.D., Tuveson, D.A., Watt, F.M., Weaver, V., Weeraratna, A.T., Werb, Z.","35551546000; 57203848264; 6602194932; 8373472500; 7004320104; 35355415600; 57203197413; 6602108641; 7003961934; 35398114700; 7102583337; 57198836737; 55345325900; 57616617300; 6603239610; 6505914933; 7101997786; 7203083045; 7005749917; 57199147022; 6507854620; 17346702300; 7401747343; 7006089006; 6701721348; 7102810626; 7006088814; 6603562918; 7102491500","A framework for advancing our understanding of cancer-associated fibroblasts",2020,"Nature Reviews Cancer",20,"3",,174,186,,1423,10.1038/s41568-019-0238-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078418124&partnerID=40&md5=d3541eb55c13d23c04e4e9ca8ded0ada",Review,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85078418124
"Azevedo, H., Ferreira, M., Mascarello, A., Osten, P., Werneck Guimarães, C.R.","7003625518; 57210160107; 25227477600; 6603963558; 35516665800","The serotonergic and alpha-1 adrenergic receptor modulator ACH-000029 ameliorates anxiety-like behavior in a post-traumatic stress disorder model",2020,"Neuropharmacology",164,"", 107912,,,,6,10.1016/j.neuropharm.2019.107912,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85076675276&partnerID=40&md5=d7fee56fd8456b8a01e38926b2603e52",Article,Final,"All Open Access, Hybrid Gold",Scopus,2-s2.0-85076675276
"Vasudevan, A., Baruah, P.S., Smith, J.C., Wang, Z., Sayles, N.M., Andrews, P., Kendall, J., Leu, J., Chunduri, N.K., Levy, D., Wigler, M., Storchová, Z., Sheltzer, J.M.","57212324918; 57190280884; 56271676000; 55200168500; 57192977607; 57203229482; 16241554800; 57201478979; 57196151983; 57200906097; 7005241418; 6602687310; 26653795700","Single-Chromosomal Gains Can Function as Metastasis Suppressors and Promoters in Colon Cancer",2020,"Developmental Cell",52,"4",,413,428.e6,,33,10.1016/j.devcel.2020.01.034,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85079428352&partnerID=40&md5=c0a4686bacd19cddfb9bfe9148318857",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85079428352
"Lak, A., Okun, M., Moss, M.M., Gurnani, H., Farrell, K., Wells, M.J., Reddy, C.B., Kepecs, A., Harris, K.D., Carandini, M.","55216641100; 57203086776; 57212496394; 57193589057; 57204916285; 57195562940; 57208530910; 6603111953; 57211720309; 6701363142","Dopaminergic and Prefrontal Basis of Learning from Sensory Confidence and Reward Value",2020,"Neuron",105,"4",,700,711.e6,,47,10.1016/j.neuron.2019.11.018,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85076844361&partnerID=40&md5=ef0f62a92500de26d2d28ee6600d325b",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85076844361
"Lau, B.Y.B., Krishnan, K., Josh Huang, Z., Shea, S.D.","36515065200; 7202602705; 55729524100; 7101777058","Maternal experience-dependent cortical plasticity in mice is circuit- And stimulus-specific and requires MECP2",2020,"Journal of Neuroscience",40,"7",,1514,1526,,19,10.1523/JNEUROSCI.1964-19.2019,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85079341284&partnerID=40&md5=e02ebaadb07daf2a9c109b7d8c426bd6",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85079341284
"Dore, K., Pao, Y., Lopez, J.S., Aronson, S., Zhan, H., Ghosh, S., Merrill, S., Zador, A.M., Malinow, R., Kebschull, J.M.","6602755841; 57191574841; 57214873917; 57202340489; 55441411400; 57214855102; 57214856880; 7004503632; 7005568322; 55604728400","SYNPLA, a method to identify synapses displaying plasticity after learning",2020,"Proceedings of the National Academy of Sciences of the United States of America",117,"6",,3214,3219,,8,10.1073/pnas.1919911117,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85079326672&partnerID=40&md5=19138caf3d5f83b8a3b210225f27b791",Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85079326672
"Cheung, E.C., DeNicola, G.M., Nixon, C., Blyth, K., Labuschagne, C.F., Tuveson, D.A., Vousden, K.H.","36853286100; 57741847900; 12797299200; 7003350892; 26326340300; 6701721348; 7006419359","Dynamic ROS Control by TIGAR Regulates the Initiation and Progression of Pancreatic Cancer",2020,"Cancer Cell",37,"2",,168,182.e4,,115,10.1016/j.ccell.2019.12.012,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078827454&partnerID=40&md5=530ee7cd06b4ca32a9548ec868ce1230",Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85078827454
"Marchione, D.M., Ilieva, I., Devins, K., Sharpe, D., Pappin, D.J., Garcia, B.A., Wilson, J.P., Wojcik, J.B.","57188831263; 57214331081; 57204774144; 57214330293; 7003371236; 10043205600; 57198215404; 56197342500","HYPERsol: High-Quality Data from Archival FFPE Tissue for Clinical Proteomics",2020,"Journal of Proteome Research",19,"2",,973,983,,18,10.1021/acs.jproteome.9b00686,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85078670292&partnerID=40&md5=bbbae4a92239a3e700316149f33102ef",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85078670292
